VehicleId,Brand,CarModel,Year,Color,Transmission,FuelType,Mileage,Price,RegistrationDate,DateAdded
2198-YYY,,,2022,Gris,Manual,Híbrido,48229.0,23353.53,2022-07-29,2025-08-08
6822-DNR,Ford,Focus,2020,Negro,Automática,Gasolina,58772.0,19741.46,2020-05-04,2025-06-05
3674-RLJ,Ford,Kuga,2022,Azul,Automática,Diésel,47601.0,24103.84,2022-12-30,2025-07-11
1419-XCW,Toyota,RAV4,2020,Plata,Manual,Híbrido,116948.0,22351.78,2020-07-03,2024-12-02
0673-KXX,Volkswagen,Golf,2023,Gris,Manual,Híbrido,59075.0,24936.93,2023-12-07,2025-01-12
5638-LKD,Mercedes-Benz,GLC,2022,Rojo,Manual,Híbrido,25523.0,46903.63,2022-05-20,2025-10-09
1779-JLS,Mercedes-Benz,GLC,2025,Plata,Manual,Híbrido,8618.0,45744.42,2025-05-16,2025-11-13
2189-DJY,Audi,Q3,2020,Blanco,Manual,Híbrido,30337.0,37874.82,2020-08-17,2025-07-17
6390-XLS,,,2025,Gris,Automática,Híbrido,18513.0,26161.89,2025-02-01,2025-10-28
2790-SCS,Hyundai,Tucson,2025,Plata,Automática,Híbrido,1146.0,26297.46,2025-10-28,2025-08-27
2231-CDD,Peugeot,208,2025,Gris,Manual,Diésel,9528.0,25840.13,2025-08-09,2025-07-05
1075-ZWD,Audi,Q3,2023,Negro,Automática,Híbrido,8371.0,46319.26,2023-03-25,2025-04-02
0982-KDT,Ford,Kuga,2025,Gris,Automática,Híbrido,16364.0,23066.47,2025-08-13,2025-03-25
8507-HKW,Hyundai,i30,2025,Blanco,Automática,Diésel,6800.0,21374.25,2025-11-04,2024-12-04
4469-SZZ,Audi,Q3,2021,Plata,Manual,Diésel,85043.0,41536.43,2021-06-28,2025-08-16
6675-MXN,Audi,A3,2025,Negro,Automática,Gasolina,1345.0,45480.59,2025-07-04,2025-10-07
8391-VCW,Kia,Ceed,2021,Blanco,Automática,Gasolina,75171.0,19790.17,2021-01-08,2025-06-04
0117-RWR,Audi,A3,2022,Rojo,Automática,Gasolina,59386.0,41371.69,2022-09-20,2025-10-28
9410-ZFV,Seat,Ateca,2025,Negro,Automática,Diésel,18181.0,26097.72,2025-07-18,2025-04-19
3300-DNN,Peugeot,3008,2025,Negro,Manual,Gasolina,14517.0,23570.41,2025-02-15,2025-09-20
7647-WWJ,BMW,X3,2025,Blanco,Automática,Gasolina,6695.0,50588.79,2025-09-17,2025-08-02
4797-KRK,BMW,X3,2025,Rojo,Automática,Híbrido,16825.0,41626.12,2025-11-25,2025-07-27
9728-TGC,Seat,Ateca,2025,Azul,Automática,Híbrido,13672.0,26252.13,2025-03-26,2024-11-27
6634-NZV,Ford,Focus,2023,Azul,Automática,Gasolina,39915.0,24192.75,2023-06-10,2025-06-01
2271-HPY,Hyundai,Tucson,2024,Rojo,Automática,Diésel,24527.0,25151.53,2024-05-03,2025-02-18
2229-FWY,Kia,Ceed,2022,Negro,Automática,Diésel,32962.0,24644.49,2022-02-01,2025-08-26
3869-BYG,Ford,Kuga,2025,Negro,Manual,Híbrido,17688.0,25194.76,2025-11-14,2025-11-06
4439-PHX,Peugeot,208,2025,Blanco,Automática,Diésel,13077.0,21675.9,2025-07-20,2025-01-13
2726-SSC,Volkswagen,Golf,2024,Azul,Automática,Diésel,4347.0,31537.49,2024-06-17,2025-01-15
2294-ZNK,Audi,Q3,2020,Negro,Automática,Gasolina,2610.0,45309.57,2020-05-05,2025-10-21
3819-KBC,Kia,Ceed,2022,Negro,Automática,Diésel,19105.0,22881.73,2022-08-07,2025-04-06
8491-VPC,Kia,Sportage,2021,Blanco,Automática,Híbrido,2972.0,24626.67,2021-10-30,2024-12-02
