service_code,service_name,category,unit_price,active_from,active_to
S001,Formación SQL Básico,Training,450.0,2023-01-01,
S002,Formación Python Avanzado,Training,650.0,2023-06-01,
S003,Curso de Liderazgo,Training,800.0,2023-03-01,
S004,Certificación Agile Scrum,Training,550.0,2022-09-01,
S005,Curso Power BI Intermedio,Training,400.0,2024-02-01,
S006,Workshop Comunicación Efectiva,Training,350.0,2023-05-01,
S007,Reconocimiento Médico,Health,120.0,2020-01-01,
S008,Seguro Dental,Health,25.0,2022-01-01,
S009,Gimnasio Corporativo,Health,30.0,2021-01-01,
S010,Seguro Médico Privado,Health,85.0,2020-01-01,
S011,Sesión de Fisioterapia,Health,45.0,2023-01-01,
S012,Programa Bienestar Mental,Health,60.0,2024-01-01,
S013,Licencia Office 365,Software,12.0,2020-01-01,
S014,Licencia App Productividad,Software,15.0,2024-01-01,
S015,Licencia Adobe Creative Cloud,Software,60.0,2021-06-01,
S016,Licencia JetBrains Suite,Software,20.0,2022-03-01,
S017,Licencia Slack Premium,Software,8.0,2023-01-01,
S018,Sesión de Coaching Individual,Coaching,90.0,2021-06-01,
S019,Mentoría Ejecutiva,Coaching,150.0,2022-09-01,
S020,Coaching de Equipos,Coaching,300.0,2023-04-01,
S021,Sesión de Career Coaching,Coaching,110.0,2024-01-01,
